ID,Length,Osculum,Camera
57,6.752,1,2
58,6.752,1,2
59,7.833,1,2
60,8.335,1,2
61,7.167,1,2
62,7.502,1,2
63,7.5,1,2
64,5.917,1,2
65,7.667,1,2
66,6.334,1,2
67,7.417,1,2
68,7.918,1,2
69,9.833,1,2
1,7.419,2,2
2,8.167,2,2
3,7.167,2,2
4,7.917,2,2
5,8.083,2,2
6,8.25,2,2
7,6.75,2,2
8,7.583,2,2
9,8.752,2,2
10,7.25,2,2
11,8.5,2,2
12,7.335,2,2
13,6.667,2,2
14,6.667,2,2
15,6.333,2,2
16,7.333,2,2
17,7.417,2,2
18,8.417,2,2
19,8.585,2,2
20,8.083,2,2
21,8,2,2
22,7.084,2,2
23,10,2,2
24,8,2,2
25,6.751,2,2
26,7,2,2
27,6.835,2,2
28,8.333,2,2
29,6.667,2,2
30,8.084,2,2
31,7.333,2,2
32,7.334,2,2
33,8.417,2,2
34,7.917,2,2
35,5.667,2,2
36,7.167,2,2
37,8.168,2,2
38,7.334,2,2
39,5.667,2,2
40,8.25,2,2
41,7.333,2,2
42,10.167,2,2
43,7.504,2,2
44,8,2,2
45,7.252,2,2
46,7.25,2,2
47,7.084,2,2
48,8,2,2
49,7.84,2,2
50,7.167,2,2
51,8.75,2,2
52,6.751,2,2
53,8.752,2,2
54,7.502,2,2
55,6.419,2,2
56,6.167,2,2
57,6.584,2,2
58,7.917,2,2
59,6.417,2,2
60,6.083,2,2
61,8,2,2
62,7.25,2,2
63,7.667,2,2
64,7.417,2,2
65,6.417,2,2
66,6.001,2,2
67,6.751,2,2
68,6.585,2,2
69,8.417,2,2
1,9.876,3,2
2,8.751,3,2
3,8.375,3,2
4,10.5,3,2
5,9.626,3,2
6,10.375,3,2
7,8.254,3,2
8,8.5,3,2
9,9.001,3,2
10,8.625,3,2
11,8.876,3,2
12,6.875,3,2
13,8.875,3,2
14,9.126,3,2
15,8.626,3,2
16,10.25,3,2
17,9,3,2
18,10.375,3,2
19,8.126,3,2
20,7.876,3,2
21,9,3,2
22,7.626,3,2
23,9,3,2
24,8.375,3,2
25,10.125,3,2
26,8.754,3,2
27,10.75,3,2
28,8.876,3,2
29,8.125,3,2
30,8,3,2
31,8.251,3,2
32,7.625,3,2
33,10.001,3,2
34,8.376,3,2
35,8.25,3,2
36,9.125,3,2
37,8.75,3,2
38,7.75,3,2
39,7.5,3,2
40,9.5,3,2
41,9.253,3,2
42,8.626,3,2
43,8.751,3,2
44,9.253,3,2
45,9.75,3,2
46,8.004,3,2
47,9.501,3,2
48,11,3,2
49,8.75,3,2
50,6.75,3,2
51,8.376,3,2
52,8.251,3,2
53,6.75,3,2
54,7.875,3,2
55,8.001,3,2
56,9,3,2
57,8.125,3,2
58,8.751,3,2
59,8,3,2
60,9.003,3,2
61,7.751,3,2
62,8.129,3,2
63,8.375,3,2
64,8.251,3,2
65,7.75,3,2
66,8.376,3,2
1,12.917,1,3
2,13,1,3
3,14,1,3
4,12,1,3
5,13.334,1,3
6,12.918,1,3
7,15.668,1,3
8,13,1,3
9,14,1,3
10,14.167,1,3
11,12.834,1,3
12,11,1,3
13,12.25,1,3
14,13.167,1,3
15,11.834,1,3
16,13.917,1,3
17,11.917,1,3
18,13.084,1,3
19,11.834,1,3
20,12.001,1,3
21,13.084,1,3
22,11.917,1,3
23,12.084,1,3
24,10.917,1,3
25,10.001,1,3
26,10.001,1,3
27,10.917,1,3
28,10.917,1,3
29,11.917,1,3
30,11.918,1,3
31,13.667,1,3
32,13.167,1,3
33,12,1,3
34,10,1,3
35,10.834,1,3
36,13.168,1,3
37,11.084,1,3
38,12.583,1,3
39,11.917,1,3
40,10.918,1,3
41,10,1,3
42,10,1,3
43,11.333,1,3
44,10.917,1,3
45,9.583,1,3
46,11.751,1,3
47,11.917,1,3
48,12.833,1,3
49,13.334,1,3
50,12.001,1,3
51,10,1,3
52,14.167,1,3
53,13.918,1,3
54,12.168,1,3
55,9.833,1,3
56,11.167,1,3
57,9.417,1,3
58,10.083,1,3
59,10.833,1,3
60,11.833,1,3
61,11.336,1,3
62,11.167,1,3
63,10.333,1,3
64,11.918,1,3
65,10.75,1,3
66,12.417,1,3
67,11.253,1,3
68,9.835,1,3
69,10.335,1,3
70,10.417,1,3
71,10.168,1,3
72,11.167,1,3
73,9.833,1,3
74,10.333,1,3
75,9.833,1,3
76,11.001,1,3
77,9.252,1,3
78,9.25,1,3
79,10.167,1,3
80,11.333,1,3
81,8.25,1,3
82,9,1,3
83,8.25,1,3
84,11.333,1,3
85,11.167,1,3
86,11.085,1,3
87,10.917,1,3
88,10.085,1,3
89,11.167,1,3
90,12.084,1,3
91,11.001,1,3
92,10.334,1,3
93,11.334,1,3
94,10.167,1,3
95,11.168,1,3
96,9.25,1,3
97,12,1,3
1,14.13,2,3
2,14,2,3
3,12.876,2,3
4,13.876,2,3
5,12.88,2,3
6,12.25,2,3
7,15.75,2,3
8,12.25,2,3
9,12.251,2,3
10,11,2,3
11,11.626,2,3
12,11.503,2,3
13,12.003,2,3
14,12.626,2,3
15,13.626,2,3
16,11.001,2,3
17,10.875,2,3
18,12.5,2,3
19,12.502,2,3
20,13.001,2,3
21,10.5,2,3
22,12.003,2,3
23,10.125,2,3
24,10.626,2,3
25,11.376,2,3
26,11.125,2,3
27,11.251,2,3
28,10.132,2,3
29,11.875,2,3
